,,,,,Location,,,,,,,,,,,,,,,,cancer data,scArches mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level_1,Level_2,Level_3,Level_4,Level_5,Nasal,Bronchial,Parenchyma,Banovich_Kropski_2020,Barbry_Leroy_2020,Jain_Misharin_2021,Krasnow_2020,Meyer_2019,Lafyatis_Rojas_2019,Meyer_2021,Meyer_Nikolic_2021,Misharin_2021,Misharin_Budinger_2018,Nawijn_2021,Seibold_2020,Teichmann_Meyer_2019,Thienpont_2018,Kaminski_2020,Schiller2021,Banovich_Kropski_2020_disease,Regev2021,Misharin_Budinger_2018_disease,Eils_2020,Zhang2021,Sims2019,Sheppard_2020,Lafyatis2019,Shalek2018,PeerMassague2020,Budinger2021,Janssen2020,Wunderink2021,Xu2020,Gomperts2021,Lambrechts2021,BarbryX,Duong_lungMAP_unpubl,Sun_2020,,Suggested annotation depth for probesets,,Expected spatial location,,cell ontology curie,cell ontology label,organ ontology curie,organ ontology label
|,Blood vessels,>,,,,,,Endothelial - inflamed,,,,Blood_vessel,4 Endothelial,,,"Aerocyte,Artery",Endothelial cells,Bronchial_endothelial,,Endothelial,,,,Endothelial Cells,,Endothelial,Endothelial,,,,,,,,,,,,,,,,,,,,,,,UBERON:0003504,respiratory system blood vessel
|,|,EC arterial,>,,,,,Endothelial - arteriole,,,Artery,,,,,Artery,,,,,,VE_Arterial,,,,,,,,,,,,,,,,,,,Arterial EC,arteries,,Blood_vessel,Both,,,,,,
|,|,|,Arterial Pulmonary,,,,,,,,,,,Endothelia_vascular_arterial_pulmonary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Arterial Systemic,,,,,,,,,,,Endothelia_vascular_arterial_systemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,EC capillary,>,,,,,Endothelial - capillary,,,Capillary,,,,,,,,,,,VE_Capillary_B,,,,,,,,,,,,,,,,,,,Capillary intermediate,Cap1,,,,,,CL:0002144,capillary endothelial cell,UBERON:0003489,respiratory system capillary endothelium
|,|,EC capillary,>,,,,,,,,,,,,,,,,,,,VE_Capillary_A,,,,,,,,,,,,,,,,,,,,Cap2,,,,,,,,,
|,|,|,EC aerocyte capillary,,,,,Endothelial - CA4+ capillary,,,Capillary Aerocyte,,,Endothelia_vascular_Cap_a,,SC86_C24_Capillary_aerocyte,,,,,,,,,,,,,,,,,,,,,,,,,aCap,,,,,,,,,,
,,,EC general capillary,,,,,,,,,,,Endothelia_vascular_Cap_g,,,,,,,,,,,,,,,,,,,,,,,,,,,gCap,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,EC capillary intermediate 1,,,,,,,,Capillary Intermediate 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,EC capillary intermediate 2,,,,,,,,Capillary Intermediate 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,EC venous,>,,,,,Endothelial - venule,,,Vein,,,,,Vein,,Venous_endothelial,,,,VE_Venous,,,,,,,,,,,,,,,,,,,Venous EC,veins,,,,,,CL:0002543,vein endothelial cell,UBERON:0004849,respiratory system venous endothelium
|,|,EC venous,>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,EC venous systemic,,,,,Endothelial - peribronchiolar,,,,,,Endothelia_vascular_venous_systemic,,,,Bronchial/Venous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,EC venous pulmonary,,,,,,,,,,,Endothelia_vascular_venous_pulmonary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,Bronchial Vessel 1,,,,,,,,,Bronchial Vessel 1,,,,,,,,,,,VE_Peribronchial,,,,,,,,,,,,,,,,,,,,bronchial vessel,,,,,,,,,
|,|,Bronchial Vessel 2,,,,,,,,,Bronchial Vessel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,Lymphatic EC,,,,,,,Lymphatic,,,Lymphatic,Lymph_vessel,11 Lymphatic endothelial,Endothelia_Lymphatic,,SC86_C8_Lymphatics,Lymphatics,Lymphatic_endothelial,,Lymphatic,,Lymphatic,,Lymphatic Endothelial Cells,,Lymphatics,LymphaticEndothelium,,,,,,,,,,,,,,Lymphatic EC,lymphatics,,,,,,CL:0002138,endothelial cell of lymphatic vessel,UBERON:0003529,respiratory system lymphatic vessel endothelium
|,Lymphatic EC,,,,,,,,,,,,,,,Lymphatics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,Lymphatic EC mature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,Lymphatic EC proliferating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,Lymphatic EC differentiating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroma,>,,,,,,,,,,,,7 Fibroblast/SMC/pericyte,,,,"Stromal cells (fibroblasts, smooth muscle, pericytes",,,,,,,,,SMC+Fibroblasts,,,,Col1+,,,,,,,,,,,,,,,,,,,,UBERON:0003891,stroma
|,Fibroblast lineage,>,,,,,,,Fibroblast,Fibroblasts,,Fibroblast,,,,,,Fibroblasts,,Fibroblasts,Fibroblast,Fibroblast,,Fibroblasts,,,Fibroblasts,,,,,,,,,,,,,,,,,,,,,,,,
|,|,Fibroblasts,>,,,,,FB - Inflamed,,,,,,Fibro_peribronchial,,SC85_C22_Fibroblast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL:0000057,"
fibroblast",,
|,|,Fibroblasts,>,,,,,FB - WNT2+,,,,,,Fibro_perichondrial,,SC88_C20_Fibroblast,,,,,,,,,,,,,,,,,,,,,,,,,Matrix fibroblast 2,matrix fibroblast 2,,,,,,CL:0002553,fibroblast of lung,,
|,|,Fibroblasts,>,,,,,FB- MFAP5+,,,,,,Fibro_adventitial,,SC89_C0_Fibroblast_1_THBS4,,,,,,,,,,,,,,,,,,,,,,,,,Matrix fibroblast 1,matrix fibroblast 1,,,,,,,,,
|,|,Fibroblasts,>,,,,,Matrix FB,,,,,,Fibro_adventitial_CCL,,SC89_C1_Fibroblast_2_THBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,Fibroblasts,>,,,,,,,,,,,Fibro_ASPN,,SC89_C2_Fibroblast_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,Fibroblasts,>,,,,,,,,,,,NAF_1,,SC89_C4_Fibroblast_4_COL13A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,Fibroblasts,>,,,,,,,,,,,NAF_2,,SC89_C5_Fibroblast_5_CNTFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,Fibroblasts,>,,,,,,,,,,,,,SC89_C6_Fibroblast_6_CPXM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,Fibroblasts,>,,,,,,,,,,,,,SC89_C7_Fibroblast_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,Fibroblasts,>,,,,,,,,,,,,,Fibroblast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Peribronchial fibroblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Adventitial fibroblasts,,,,,,,,Adventitial Fibroblast,,,,,SC86_C0_Adventitial_fibroblast_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Adventitial fibroblasts,,,,,,,,,,,,,SC86_C1_Adventitial_fibroblast_2_G0S2pos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Adventitial fibroblasts,,,,,,,,,,,,,SC86_C6_Adventitital_fibroblast_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
